GrapNet	arxiv	arxiv:2606.18923; paper-only, no implementation located in sweep	dynamic executable architecture graph: GrapNode vector parent interfaces	float32	programmable dynamic neural graph substrate	programmable-neural-graph/continual-learning	2026	arXiv:2606.18923; date=2026-06-17; distinct primitive: network topology is an editable executable child-owned graph with trainable allocation vectors and topology edits reflected in parameter coordinates; grep-verified absent via GrapNet/GrapNode/dynamic-architecture neural graph/graph-as-network.
GEARS	snap-stanford/GEARS	from gears import GEARS; GEARS(pert_data).model	(N, G) expr + gene-perturbation graph	float32	gears-gnn	single-cell-omics/perturbation	2023	GNN over gene co-expression + GO knowledge graph predicting combinatorial perturbation. zoo: GEARS/PyG
veloVI	scverse/velovi	from velovi import VELOVI; VELOVI(adata).module	(N, G, 2) spliced+unspliced	float32	velovi-vae	single-cell-omics/rna-velocity	2023	VAE over spliced/unspliced abundances; kinetic-parameter + latent-time posterior. zoo: velovi/scvi-tools
Cellpose	MouseLand/cellpose	from cellpose.resnet_torch import CPnet; CPnet(nbase=[2,32,64,128,256], nout=3, sz=3)	(B, 2, 224, 224) cyto+nucleus	float32	cellpose-unet	bioimaging/cell-segmentation	2021	Cell-segmentation U-Net with additive skip-merges; 3-channel flow+probability output. zoo: cellpose
StarDist	okunator/cellseg_models.pytorch	from cellseg_models_pytorch.models import StarDist; StarDist(encoder_name='resnet34', in_channels=1, out_channels=33)	(B, 1, 256, 256)	float32	stardist-unet	bioimaging/nucleus-segmentation	2018	Star-convex polygon nuclei segmentation; U-Net + per-pixel radial-distance regression. zoo: cellseg_models_pytorch
UFold	uci-cbcl/UFold	from ufold import U_Net; U_Net(img_ch=17, output_ch=1)	(1, 17, L, L) pairwise RNA image	float32	ufold-unet	rna-structure	2021	RNA secondary-structure U-Net over LxL pairwise-feature image; contact-map output. zoo: UFold
cryoDRGN	ml-struct-bio/cryodrgn	from cryodrgn.models import HetOnlyVAE; HetOnlyVAE(D=64, in_dim=3, enc_mask=32, enc_layers=3, enc_dim=128, dec_layers=3, dec_dim=128, dec_type='mlp', n_classes=0, pe_type='gaussian', feat_sigma=0.5)	(B, D, D) particle images + (B,3,3) poses	float32	cryodrgn-vae	cryo-em	2021	Cryo-EM heterogeneous reconstruction; VAE with coordinate-MLP (Fourier-feature NeRF-style) volume decoder. zoo: cryodrgn
Topaz	tbepler/topaz	from topaz.model.classifier import ResNet8; ResNet8(dropout=0.0)	(B, 1, H, W) micrograph patch	float32	topaz-cnn	cryo-em/particle-picking	2019	PU-learning CNN for cryo-EM particle picking; ResNet8-style small classifier. zoo: topaz
EquiBind	HannesStark/EquiBind	from commons.model import EquiBind; EquiBind(args)	ligand graph + receptor graph (DGL)	float32	equibind-egnn	molecular-docking	2022	Single-shot equivariant (E-GNN style) blind docking without diffusion; direct keypoint-coordinate prediction. zoo: EquiBind/DGL
TankBind	luwei0917/TankBind	from models.model import TankBind; TankBind(hidden_size=64)	protein-block graph + ligand graph (PyG/torchdrug)	float32	tankbind-gnn	molecular-docking	2022	Trigonometry-constrained interaction-distance docking GNN. zoo: TankBind/PyG
Basset	FunctionLab/selene	from selene_sdk.utils import load_model_from_config; # or: nn.Sequential(Conv1d(4,300,19),ReLU(),BatchNorm1d(300),MaxPool1d(3,3),Conv1d(300,200,11),ReLU(),BatchNorm1d(200),MaxPool1d(4,4),Conv1d(200,200,7),ReLU(),BatchNorm1d(200),MaxPool1d(4,4),Flatten(),Linear(1800,1000),ReLU(),Dropout(0.3),Linear(1000,164),Sigmoid())	(B, 4, 600) one-hot DNA	float32	basset-cnn	genomics/chromatin	2016	DNA accessibility CNN (3 conv+pool + 2 FC + sigmoid); selene-sdk ships clean PyTorch version. zoo: selene
DeepGOPlus	bio-ontology-research-group/deepgoplus	# sketch: stacked Conv1d(21,512,k) for k in [8,12,16,24,32,48,64] + maxpool-to-scalar + cat + Linear -> sigmoid(n_GO_terms)	(B, 21, L) one-hot AA	float32	deepgoplus-cnn	protein-function	2020	Multi-kernel 1D-conv protein function (GO-term) predictor; small enough to trivially reimplement. zoo: deepgoplus
AbLang	oxpig/AbLang	from transformers import BertModel, BertConfig; BertModel(BertConfig(vocab_size=24, hidden_size=768, num_hidden_layers=12, num_attention_heads=12, max_position_embeddings=160))	(1, L) antibody token ids	int64	ablang-bert	immunology/antibody-lm	2022	Antibody-specific protein LM (OAS-trained RoBERTa/BERT); antibody-specialized sub-domain. zoo: AbLang
SpaGCN	jianhuupenn/SpaGCN	from SpaGCN import SpaGCN; SpaGCN()	(S, G) spot expr + (S,S) spatial adj	float32	spagcn-gcn	spatial-transcriptomics	2021	GCN over spatial+histology-weighted spot graph for domain identification. zoo: SpaGCN
STAGATE	zhanglabtools/STAGATE	from STAGATE_pyG import STAGATE; STAGATE(hidden_dims=[G,512,30])	(S, G) spot expr + spatial edge_index	float32	stagate-gat	spatial-transcriptomics	2022	Graph-attention autoencoder (GATConv encoder + symmetric decoder) over spatial spot graph. zoo: STAGATE_pyG/PyG
GraphST	JinmiaoChenLab/GraphST	from GraphST import GraphST; GraphST(args)	(S, G) spot expr + edge_index	float32	graphst-contrastive	spatial-transcriptomics	2023	Contrastive graph autoencoder (DGI-style) for spatial transcriptomics representation. zoo: GraphST/PyG
DeepVariant	google/deepvariant	import torchvision.models as m; net=m.inception_v3(num_classes=3); net.Conv2d_1a_3x3.conv=torch.nn.Conv2d(6,32,3,2,bias=False)	(B, 6, 100, 221) pileup image	float32	deepvariant-inception	genomics/variant-calling	2018	Inception-v3 with 6-channel pileup-image input + 3-class genotype head; torchvision provides the backbone. zoo: torchvision.inception_v3
Casanovo	Noble-Lab/casanovo	from casanovo.denovo.model import Spec2Pep; Spec2Pep(dim_model=128, n_head=8, dim_feedforward=1024, n_layers=9, dropout=0.0, dim_intensity=None, max_length=100, residues='canonical', max_charge=10, precursor_mass_tol=50.0, isotope_error_range=(0,1), min_peptide_len=6, n_log=10, tb_summarywriter=None, train_label_smoothing=0.01, warmup_iters=100, cosine_schedule_period_iters=600, learning_rate=5e-4, weight_decay=1e-5, calculate_precision=False)	(B, P, 2) m/z+intensity peaks + (B, L) prefix tokens	float32; int64	casanovo-transformer	proteomics/ms-denovo	2022	Transformer encoder+decoder for de novo MS/MS peptide sequencing; modern PyTorch-native. zoo: casanovo
DeepMicrobes	MicrobeLab/DeepMicrobes	# sketch: Embedding(vocab=4^K,d) -> BiLSTM(d,512,bidirectional=True) -> self-attention -> Linear(1024,n_taxa); K=12 k-mer tokenization	(B, L_kmers) k-mer ids	int64	deepmicrobes-bilstm	metagenomics/taxonomy	2020	k-mer embedding + BiLSTM + self-attention taxonomic classifier over metagenomic reads. zoo: DeepMicrobes (TF; trivial torch reimpl)
AlphaGenome	genomicsxai/alphagenome-pytorch	from alphagenome_pytorch import AlphaGenome; AlphaGenome()	(1, 1048576, 4) one-hot DNA	float32	alphagenome-unet	genomics/multi-track	2025	DeepMind 2025 genomics FM (Enformer/Borzoi successor at 1Mb context); faithful PyTorch port with weights. zoo: alphagenome-pytorch
Prosit	kusterlab/prosit	# sketch: BiGRU(d_aa+charge_emb, 256, 2, bidirectional=True) encoder -> GRU(512, 174) decoder -> softmax(174 fragment ions); from TF orig reimplement	(B, L) peptide tokens + (B,) charge/CE	int64; float32	prosit-rnn	proteomics/ms-prediction	2019	BiGRU seq2seq predicting MS/MS fragment-ion intensities + retention time. zoo: prosit (TF original; small enough to reimplement)
Hyperbolic Image Embeddings	leymir/hyperbolic-image-embeddings	from hyrnn.nets import MobiusLinear; # full: CNN backbone + ToPoincare(c) + MobiusLinear + HyperbolicMLR; uses geoopt + hyrnn	(B, 3, H, W) image -> (B, d)	float32	hyperbolic-vision	vision/metric-learning	2020	Hyperbolic metric learning for hierarchical image embeddings; Poincare ResNet 2023 is successor. zoo: hyperbolic-image-embeddings + geoopt
Gauge-equivariant CNN (Icosahedral)	hrdkjain/IcosahedralCNN	from models.IcosahedralCNN import IcosahedralCNN; IcosahedralCNN(in_ch=3, out_ch=10, n_conv=3, n_fc=1)	(B, C, 5, 2H, W) icosahedral chart	float32	ico-gauge-cnn	equivariant/geometry	2019	Intrinsic gauge-equivariant conv on icosahedral mesh; distinct from escnn steerable R3 conv. zoo: IcosahedralCNN
Product-manifold / mixed-curvature GCN	HazyResearch/hgcn	from hgcn.models.encoders import HNN; # or: geoopt ProductManifold([PoincareBall(c1), Euclidean(), Sphere(r)]) + per-factor expmap/logmap	(B, d) split across manifold factors	float32	mixed-curvature-gcn	hyperbolic-geometry	2020	Mixed/product-curvature GCN spanning sphere/Euclidean/hyperbolic (Gu 2019 kappa-GCN; Skopek mixed-curvature VAE). zoo: hgcn, geoopt
Trajectory Transformer	jannerm/trajectory-transformer	from transformers import TrajectoryTransformerModel, TrajectoryTransformerConfig; TrajectoryTransformerModel(TrajectoryTransformerConfig())	(B, T*(s+a+r)) discretized trajectory tokens	int64	trajectory-transformer	offline-rl	2021	GPT-style AR model over discretized (state,action,reward) trajectory tokens; planning via beam search. zoo: HF transformers, jannerm/trajectory-transformer
CellOT	bunnech/cellot	from cellot.models import load_cellot_model; model=load_cellot_model(config)	(N, G) expr + source/target condition	float32; int64	cellot-ot	single-cell-omics/perturbation	2023	Optimal-transport single-cell perturbation model. zoo: cellot/PyTorch
scDeepCluster	boyangchen-monash/scDeepCluster	from scDeepCluster_pytorch import scDeepCluster; scDeepCluster(input_dim=500, z_dim=32, n_clusters=10)	(N, G) expression counts	float32	scdeepcluster-vae	single-cell-omics/clustering	2018	Autoencoder + clustering objective for single-cell clustering. zoo: scDeepCluster_pytorch
BPNet	kundajelab/bpnet-manuscript	# sketch: nn.Sequential(Conv1d(4,64,25,padding=12), ReLU(), *[DilatedResBlock(64,64,k) for k in [2,4,8,16,32,64,128]], SplitHead([Conv1d(64,1,1), Conv1d(64,L_out,1)]))	(B, 4, L) one-hot DNA	float32	bpnet-dilated	genomics/tf-footprinting	2019	Dilated residual Conv1d sequence-to-profile; profile + count heads for TF footprinting. zoo: bpnet-manuscript
DeepSEA-Beluga	FunctionLab/selene	from selene_sdk import model_zoo; model_zoo.DeepSEA_Beluga(sequence_length=2000, n_genomic_features=2002)	(B, 4, 2000) one-hot DNA	float32	deepsea-beluga	genomics/chromatin	2018	DeepSEA variant at 2000bp window; 2002 regulatory features. zoo: selene-sdk model_zoo
Pangolin	tkzeng/Pangolin	from pangolin.model import Pangolin; Pangolin(L=5000)	(B, 4, L) one-hot DNA	float32	pangolin-spliceimpact	genomics/splice-impact	2022	Splice-impact CNN/ResNet predicting variant effects on splicing across tissues. zoo: Pangolin/PyTorch
RNA-FM	ml4bio/RNA-FM	import fm; model, alphabet = fm.pretrained.rna_fm_t12(); tokens=(B,L)	(B, L) RNA tokens	int64	rna-fm-transformer	rna-structure/language-model	2022	RNA foundation model (ESM-architecture); 23M params trained on ncRNA. zoo: RNA-FM/fairseq-style
RhoFold	ml4bio/RhoFold	from rhofold.model import RhoFold; RhoFold(RhoFoldConfig())	(B, L) RNA tokens + MSA	mixed	rhofold-evoformer	rna-structure/3d	2024	RNA 3D structure prediction using RNA-FM + Evoformer-like pairwise attention. zoo: RhoFold
LigandMPNN	dauparas/LigandMPNN	from ligand_mpnn.model_utils import ProteinMPNN; ProteinMPNN(num_letters=21, ligand_mpnn_use_atom_context=True)	backbone coords + ligand atom context	float32	ligandmpnn-gnn	protein-design	2025	ProteinMPNN extension conditioned on ligand chemical context for binding-site design. zoo: LigandMPNN
IgFold	Graylab/IgFold	from igfold import IgFoldRunner; runner=IgFoldRunner()	heavy/light AA token sequences	int64/str	igfold-antibody	immunology/antibody-structure	2023	Antibody structure prediction from sequence; fast, differentiable. zoo: IgFold
Bonito	nanoporetech/bonito	from bonito.models import model; m=model.Model(config=model.load_config('dna_r10.4.1_e8.2_400bps_fast'))	(B, 1, T) raw nanopore signal	float32	bonito-cnn-ctc	sequencing/basecalling	2019	PyTorch basecaller for ONT nanopore signals; CTC-based. zoo: bonito
Remora	nanoporetech/remora	# from remora.model_util import load_model; or Conv1d+Transformer modified-base classifier over signal chunks + base context	signal chunk (B,1,T) + base tokens	float32; int64	remora-modified-base	sequencing/modified-bases	2021	Modified-base (5mC, 6mA) caller combining signal CNN + sequence context transformer. zoo: remora
ProtTrans (ProtT5)	Rostlab/prot_t5_xl_half_uniref50-enc	from transformers import T5EncoderModel, T5Config; T5EncoderModel.from_pretrained('Rostlab/prot_t5_xl_half_uniref50-enc')	(1, L) protein token ids	int64	prot-t5-encoder	protein-lm	2021	ProtTrans ProtT5-XL encoder (3B params T5-style); wider ProtTrans family beyond ProtBERT. zoo: HF transformers
AntiBERTy	jeffreyruffolo/AntiBERTy	from antiberty import AntiBERTyRunner; runner=AntiBERTyRunner()	(B, L) antibody sequence tokens	int64	antiberty-bert	immunology/antibody-lm	2022	Antibody-specific BERT LM used as backbone for IgFold; trained on paired antibody sequences. zoo: AntiBERTy
DMR	github(reczoo/FuxiCTR)	from fuxictr.pytorch.models import DMR; model = DMR(feature_map)	feature_map dict (sparse ids + dense)	mixed	ctr-recsys	recommendation/CTR	2020	Deep match-to-rank: CF user-aware item match bridge into DNN ranking; official lvze92/DMR is TF1, FuxiCTR PyTorch port; MED
MIMN	github(reczoo/FuxiCTR)	from fuxictr.pytorch.models import MIMN; model = MIMN(feature_map)	feature_map dict (sparse ids + dense)	mixed	ctr-recsys	recommendation/sequential	2019	NTM-style 2-channel memory + GRU controller for long behavior sequences; FuxiCTR PyTorch port; MED
AITM	github(adtalos/AITM-torch)	from model import AITM; model = AITM(input_dims=[256,256], task_num=2)	feature_map dict (sparse ids + dense)	mixed	multi-task-recsys	recommendation/multi-task	2021	Adaptive info transfer routing across conversion funnel; adtalos/AITM-torch + easezyc/Multitask-Recommendation-Library; HIGH
ESCM2	github(alipay/MMLRec)	from mmlrec.models import ESCM2; model = ESCM2(feature_map)	feature_map dict (sparse ids + dense)	mixed	multi-task-recsys	recommendation/multi-task	2022	Entire-space counterfactual CVR with propensity/IPS debiasing branch; PyTorch in Alibaba MMLRec; MED
FMLP-Rec	github(RUCAIBox/FMLP-Rec)	from model.fmlprec import FMLPRec; model = FMLPRec(config)	(1, 50) item-id sequence	int64	sequential-recsys	recommendation/sequential	2022	All-MLP with learnable FFT spectral filters replacing attention; official RUCAIBox PyTorch (WWW22); HIGH
CAN	github(CAN-Paper/Co-Action-Network)	from deepctr_torch.models import CAN; model = CAN(linear_feature_columns, dnn_feature_columns)	feature_map dict (sparse ids + dense)	mixed	ctr-recsys	recommendation/CTR	2022	Co-action units: item features parameterize micro-networks over user features; DeepCTR-Torch port; LOW
PLATO	github(HwwAncient/Pytorch-PLATO)	from model import PLATO; model = PLATO(n_layers=12, n_heads=12, hidden_size=768, latent_type_num=20)	(1, 128) token ids	int64	dialogue-lm	NLP/dialogue	2020	Unified dialogue Transformer with discrete latent response-type variable; community PyTorch port (Baidu orig Paddle); MED
TransNormerLLM	github(OpenNLPLab/TransnormerLLM)	from transformers import AutoModelForCausalLM; model = AutoModelForCausalLM.from_pretrained('OpenNLPLab/TransNormerLLM-385M')	(1, 128) token ids	int64	linear-attention-llm	NLP/LLM	2023	LRPE + Lightning Attention + NormAttention full linear-attn LLM; official PyTorch + HF weights; HIGH
CosFormer	github(OpenNLPLab/cosFormer)	from cosformer import CosformerAttention; attn = CosformerAttention(embed_dim=512, num_heads=8)	(128, 1, 512) q/k/v	float32	linear-attention	NLP/efficient-attention	2022	Cosine RBF reweighting -> O(n) non-negative linear attention; official PyTorch (ICLR22); HIGH
InternImage	github(OpenGVLab/InternImage)	from classification.models import InternImage; model = InternImage(core_op='DCNv3', channels=64, depths=[4,4,18,4], groups=[4,8,16,32])	(1, 3, 224, 224)	float32	vision-backbone	vision/backbone	2023	DCNv3 dynamic multi-group deformable-conv core operator; CVPR23 official PyTorch+CUDA; HIGH
UniRepLKNet	github(AILab-CVC/UniRepLKNet)	import timm; model = timm.create_model('unireplknet_l', pretrained=False)	(1, 3, 224, 224)	float32	vision-backbone	vision/backbone	2024	Modality-agnostic large-kernel ConvNet (dilated-small/decomposed-large/reparam); CVPR24 timm-integrated; HIGH
Gold-YOLO	github(huawei-noah/Efficient-Computing)	from gold_yolo import Model; model = Model('Gold_n.yaml')	(1, 3, 640, 640)	float32	vision-detection	vision/detection	2023	Gather-and-Distribute neck (conv gather + attn distribute + injection); NeurIPS23 official PyTorch; HIGH
DAMO-YOLO	github(tinyvision/DAMO-YOLO)	from damo.base_models.core.ops import build_model; model = build_model(config)	(1, 3, 640, 640)	float32	vision-detection	vision/detection	2022	MAE-NAS backbone + RepGFPN + ZeroHead + AlignedOTA; Alibaba official PyTorch; HIGH
ACMix	github(LeapLabTHU/ACmix)	from acmix import ACmix; model = ACmix(in_planes=64, out_planes=64)	(1, 64, 56, 56)	float32	vision-hybrid-backbone	vision/backbone	2022	Conv and self-attention unified via shared 1x1 projection + dual-path aggregation; CVPR22 official PyTorch; HIGH
DFSMN	github(sailordiary/fsmn)	from fsmn import DFSMN; model = DFSMN(input_size=80, hidden_size=512, memory_size=128, lorder=20, rorder=1)	(1, 200, 80) acoustic feats	float32	speech-asr	speech/ASR	2018	Feedforward sequential memory blocks (RNN-free, attention-free context); community PyTorch; MED
NaturalSpeech3	github(lifeiteng/naturalspeech3_facodec)	from ns3_codec import FACodecEncoder, FACodecDecoder; enc = FACodecEncoder()	(1, 1, 16000) waveform	float32	tts	speech/TTS	2024	Factorized codec (FVQ) disentangling content/prosody/timbre/detail; FACodec PyTorch (full diffusion not public); MED
Megalodon	github(XuezheMax/megalodon)	from megalodon.model.mega import MegaBlock; model = MegaBlock(cfg, layer_id=0)	(1, 32, 256)	float32	ssm-attention-hybrid	NLP/LLM	2024	Complex EMA (CEMA) token-mixer + chunked local attention + timestep norm; official PyTorch (custom CUDA); LOW
Hedgehog	github(HazyResearch/based)	from based.models.mixers.linear_attention import LinearAttention, TaylorExp; model = LinearAttention(d_model=512, feature_map=TaylorExp, l_max=2048, feature_dim=16, num_heads=8, layer_idx=0)	(1, 64, 512)	float32	linear-attention-llm	NLP/LLM	2024	Trainable MLP feature map mimicking softmax spikiness/monotonicity; HazyResearch PyTorch; HIGH
Infini-attention	github(lucidrains/infini-transformer-pytorch)	from infini_transformer_pytorch import InfiniTransformer; model = InfiniTransformer(num_tokens=256, dim=512, depth=8, dim_head=128, heads=8, use_mem_delta_rule=True)	(1, 1024)	int64	compressive-memory-transformer	NLP/LLM	2024	In-place fixed-size compressive memory matrix per attention layer + local causal attn; lucidrains PyTorch; HIGH
Quiet-STaR	github(ezelikman/quiet-star)	from modeling_mistral import MistralForCausalLM; from configuration_mistral import MistralConfig; model = MistralForCausalLM(MistralConfig(max_thoughts=9))	(1, 128)	int64	latent-reasoning-lm	NLP/LLM	2024	Parallel implicit rationale tokens after every token + learned mixing head (REINFORCE); official PyTorch; MED
Coconut	github(lucidrains/coconut-pytorch)	from coconut_pytorch import Coconut; model = Coconut(num_reasoning_steps=3, num_latents_per_step=1, transformer=dict(num_tokens=256, dim=512, depth=6))	(2, 1024)	int64	latent-reasoning-lm	NLP/LLM	2024	Reasoning in continuous latent space: last hidden state fed back as next embedding (no decode); lucidrains PyTorch; HIGH
Transfusion	github(lucidrains/transfusion-pytorch)	from transfusion_pytorch import Transfusion; model = Transfusion(num_text_tokens=256, dim_latent=384, transformer=dict(dim=512, depth=8))	(2, 1024)	int64	ar-plus-diffusion-multimodal	multimodal/generative	2024	Single transformer with joint next-token (text) + diffusion (image patches) loss in one forward; lucidrains PyTorch; HIGH
Block-Diffusion	github(kuleshov-group/bd3lms)	from models.dit import DIT; model = DIT(cfg, vocab_size=50257)	(1, 1024)	int64	discrete-diffusion-llm	NLP/LLM	2025	Semi-AR: denoise left-to-right blocks, interpolating AR <-> full masked diffusion; ICLR25 Oral, config-driven; MED
Mean-Flow	github(lucidrains/rectified-flow-pytorch)	from rectified_flow_pytorch import MeanFlow, Unet; model = MeanFlow(Unet(dim=64, channels=3), data_shape=(3,64,64))	(1, 3, 64, 64)	float32	flow-matching	generative/diffusion-flow	2025	Parameterizes mean (expected) velocity x_t->x_0 for one-step gen without distillation; PyTorch ports; MED
MatMul-Free-LM	github(ridgerchu/matmulfreellm)	from mmfreelm.models import HGRNBitConfig; from transformers import AutoModel; model = AutoModel.from_config(HGRNBitConfig(hidden_size=512, num_hidden_layers=6, vocab_size=32000))	(1, 128)	int64	ternary-no-matmul-lm	NLP/LLM	2024	Ternary BitLinear replacing ALL matmuls incl attention (RWKV-style ternary recurrence + gated conv); official PyTorch; MED
Compressive-Transformer	github(lucidrains/compressive-transformer-pytorch)	from compressive_transformer_pytorch import CompressiveTransformer; model = CompressiveTransformer(num_tokens=20000, dim=512, depth=12, seq_len=1024, mem_len=1024, cmem_len=256, cmem_ratio=4)	(1, 1024)	int64	compressive-memory-transformer	NLP/LLM	2019	Second compressed-memory tier with trainable compression over Transformer-XL memory; lucidrains PyTorch; HIGH
Sinkhorn-Transformer	github(lucidrains/sinkhorn-transformer)	from sinkhorn_transformer import SinkhornTransformerLM; model = SinkhornTransformerLM(num_tokens=20000, dim=1024, heads=8, depth=12, bucket_size=128, max_seq_len=8192)	(1, 1024)	int64	sparse-attention	NLP/efficient-attention	2020	Differentiable Sinkhorn (optimal-transport) sort routes query buckets to key buckets; lucidrains PyTorch; HIGH
Routing-Transformer	github(lucidrains/routing-transformer)	from routing_transformer import RoutingTransformerLM; model = RoutingTransformerLM(num_tokens=20000, dim=512, heads=8, depth=12, max_seq_len=8192, causal=True, window_size=128)	(1, 1024)	int64	sparse-attention	NLP/efficient-attention	2020	Online k-means clusters route q/k for sparse attention (EMA centroids); lucidrains PyTorch; HIGH
Charformer	github(lucidrains/charformer-pytorch)	from charformer_pytorch import GBST; model = GBST(num_tokens=257, dim=512, max_block_size=4, downsample_factor=4, score_consensus_attn=True)	(1, 1024)	int64	learned-tokenization	NLP/LLM	2021	Gradient-based subword tokenization (GBST): learns differentiable byte-block segmentation; lucidrains PyTorch; HIGH
Zipformer	github(k2-fsa/icefall)	from zipformer import Zipformer; model = Zipformer(downsampling_factor=(1,2,4,8,4,2), encoder_dims=(384,)*6, num_encoder_layers=(2,4,3,2,4,3))	(100, 1, 80)	float32	efficient-attention	speech/ASR	2023	BiasNorm + multi-resolution temporal downsampling within stacks + ScaledAdam; icefall source-copy; MED
UniDisc	github(alexanderswerdlow/unidisc)	from unidisc.models import UniDisc; model = UniDisc(config)	(1, 512)	int64	discrete-diffusion-multimodal	multimodal/generative	2025	Joint text+image understanding & generation via unified discrete diffusion over multimodal tokens; config-driven PyTorch; MED
DyDiT	github(NUS-HPC-AI-Lab/Dynamic-Diffusion-Transformer)	from models import DyDiT_XL_2; model = DyDiT_XL_2(input_size=32, num_classes=1000)	(1, 4, 32, 32)	float32	dynamic-width-dit	generative/diffusion	2025	Timestep-wise dynamic width + spatial-wise dynamic token computation inside DiT; official PyTorch; MED
LambdaNetworks	github(lucidrains/lambda-networks)	from lambda_networks import LambdaLayer; model = LambdaLayer(dim=32, dim_out=32, n=64, dim_k=16, heads=4, dim_u=1)	(1, 32, 64, 64)	float32	efficient-attention	vision/backbone	2021	Lambda operator: context-summary lambdas applied via linear projection (no softmax/QK outer product); lucidrains PyTorch; HIGH
SqueezeNext	github(pytorchcv)	from pytorchcv.model_provider import get_model as ptcv_get_model; model = ptcv_get_model('sqnxt23_w1', pretrained=False)	(1, 3, 224, 224)	float32	compact-vision	vision/backbone	2018	Hardware-aware 1xN+Nx1 separable two-stage bottleneck; luuuyi/SqueezeNext.PyTorch + pytorchcv; HIGH
CondenseNet	github(ShichenLiu/CondenseNet)	from models import CondenseNet; model = CondenseNet(args)	(1, 3, 224, 224)	float32	compact-vision	vision/backbone	2018	Learned group convolution: sparsity progressively trained-in then frozen + dense connectivity; official PyTorch; HIGH
DiCENet	github(sacmehta/EdgeNets)	from model.classification.dicenet import dicenet; model = dicenet(num_classes=1000)	(1, 3, 224, 224)	float32	compact-vision	vision/backbone	2020	Dimension-wise convolution (separate depth/width/height 1D kernels) recombined by elementwise product; sacmehta/EdgeNets; HIGH
SASA	github(leaderj1001/Stand-Alone-Self-Attention)	from model import ResNet; model = ResNet()	(1, 3, 224, 224)	float32	attention-vision-backbone	vision/backbone	2019	All spatial convs replaced by local self-attention over neighborhoods from the stem; multiple PyTorch repos; HIGH
PatchConvNet	github(facebookresearch/deit)	from patchconvnet_models import S60; model = S60()	(1, 3, 224, 224)	float32	compact-vision	vision/backbone	2021	Patch linear projection + 1x1/3x3 residual trunk + attention pooling head only; official FAIR DeiT repo; HIGH
EEGConformer	braindecode	from braindecode.models import EEGConformer; model = EEGConformer(n_outputs=4, n_chans=22, n_times=1000)	(1, 22, 1000)	float32	eeg-transformer	neuro-EEG/BCI	2022	Conv patch tokenizer + Conformer (local conv + global attn) on raw EEG; braindecode registry; HIGH
ShallowConvNet/DeepConvNet	braindecode	from braindecode.models import ShallowFBCSPNet; model = ShallowFBCSPNet(n_chans=22, n_classes=4, input_window_samples=1000)	(1, 22, 1000)	float32	eeg-cnn	neuro-EEG/BCI	2017	FBCSP-inspired bandpass-then-log-power CNN (Shallow) + deep 4-block conv (Deep4Net); braindecode registry; HIGH
EEG-Inception	braindecode	from braindecode.models import EEGInception; model = EEGInception(n_chans=22, n_outputs=4, input_window_samples=1000)	(1, 22, 1000)	float32	eeg-cnn	neuro-EEG/BCI	2020	Parallel multi-scale temporal convs + spatial depthwise conv inception block for EEG; braindecode registry; HIGH
TSception	torcheeg	from torcheeg.models import TSCeption; model = TSCeption(num_electrodes=28, num_classes=3, sampling_rate=128)	(1, 28, 512)	float32	eeg-cnn	neuro-EEG/BCI	2021	Multi-scale rate-linked temporal kernels + hemisphere-asymmetric spatial conv; torcheeg + official repo; HIGH
LMDA-Net	github(MiaoZhengQing/LMDA-Code)	from LMDA import LMDA; model = LMDA(num_classes=4, chans=22, samples=1000)	(1, 22, 1000)	float32	eeg-cnn	neuro-EEG/BCI	2022	Lightweight channel-attention + depth-attention over EEG temporal-spatial maps; official PyTorch; HIGH
BENDR	github(SPOClab-ca/BENDR)	from dn3.trainable.models import BENDR; model = BENDR(22, encoder_h=512)	(1, 22, 1500)	float32	eeg-transformer-ssl	neuro-EEG/BCI	2021	wav2vec2-style contrastive SSL on raw EEG (1D conv encoder + transformer); official PyTorch; HIGH
EEGPT	braindecode	from braindecode.models import EEGPT; model = EEGPT(n_chans=22, n_outputs=4)	(1, 22, 1000)	float32	eeg-transformer-ssl	neuro-EEG/BCI	2024	Dual SSL (masked AE + spatio-temporal alignment) + hierarchical spatial-then-temporal; braindecode + BINE022/EEGPT; HIGH
BrainBERT	github(czlwang/BrainBERT)	from models import BrainBERT; model = BrainBERT()	(1, 128, 256)	float32	ieeg-transformer-ssl	neuro-EEG/BCI	2023	MAE over iEEG STFT-spectrogram patches (ViT); first large iEEG foundation model; official PyTorch; HIGH
Brant	github(ZJU-BrainNet/BrainBenchmark)	from brant import Brant; model = Brant()	(1, 64, 2000)	float32	ieeg-transformer-ssl	neuro-EEG/BCI	2023	Latent-space masking (masks embeddings) + temporal-spectral cross-attention for long iEEG; BrainBenchmark repo; MED
LaBraM	github(935963004/LaBraM)	from modeling_finetune import labram_base_patch200_200; model = labram_base_patch200_200()	(1, 32, 1000)	float32	eeg-transformer-ssl	neuro-EEG/BCI	2024	Neural VQ-tokenizer maps EEG patches to discrete codebook + MAE over tokens; ICLR24, official PyTorch; HIGH
MalConv	github(FutureComputing4AI/MalConv2)	from MalConv import MalConv; model = MalConv(channels=256, window_size=512, embd_size=8)	(1, 2000000)	int64	malware-cnn	security/malware	2018	Byte-embedding + gated parallel 1D-conv + temporal maxpool over raw 2MB PE files; multiple PyTorch repos; HIGH
